;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;trueLabel;label1;label2;label3;label4;label5
19;6.5;0.31;0.14;7.5;0.044000000000000004;34.0;133.0;0.9955;3.22;0.5;9.5;5;1.0;1.0;1.0;0.0;1.0;0.0
20;6.2;0.66;0.48;1.2;0.028999999999999998;29.0;75.0;0.9892;3.33;0.39;12.8;8;1.0;1.0;1.0;1.0;1.0;0.0
21;6.4;0.31;0.38;2.9;0.038;19.0;102.0;0.9912;3.17;0.35;11.0;7;1.0;1.0;0.0;1.0;1.0;0.0
22;6.8;0.26;0.42;1.7;0.049;41.0;122.0;0.993;3.47;0.48;10.5;8;1.0;1.0;0.0;0.0;1.0;0.0
23;7.6;0.67;0.14;1.5;0.07400000000000001;25.0;168.0;0.9937;3.05;0.51;9.3;5;1.0;1.0;1.0;1.0;1.0;0.0
24;6.6;0.27;0.41;1.3;0.052000000000000005;16.0;142.0;0.9951;3.42;0.47;10.0;6;1.0;1.0;0.0;1.0;0.0;0.0
25;7.0;0.25;0.32;9.0;0.046;56.0;245.0;0.9955;3.25;0.5;10.4;6;1.0;1.0;1.0;1.0;0.0;0.0
26;6.9;0.24;0.35;1.0;0.052000000000000005;35.0;146.0;0.993;3.45;0.44;10.0;6;1.0;1.0;1.0;1.0;0.0;0.0
27;7.0;0.28;0.39;8.7;0.051;32.0;141.0;0.9961;3.38;0.53;10.5;6;1.0;1.0;1.0;1.0;0.0;0.0
28;7.4;0.27;0.48;1.1;0.047;17.0;132.0;0.9914;3.19;0.49;11.6;6;1.0;1.0;0.0;0.0;1.0;0.0
29;7.2;0.32;0.36;2.0;0.033;37.0;114.0;0.9906;3.1;0.71;12.3;7;1.0;1.0;1.0;1.0;0.0;0.0
30;8.5;0.24;0.39;10.4;0.044000000000000004;20.0;142.0;0.9974;3.2;0.53;10.0;6;1.0;1.0;1.0;0.0;1.0;0.0
31;8.3;0.14;0.34;1.1;0.042;7.0;47.0;0.9934;3.47;0.4;10.2;6;1.0;1.0;1.0;1.0;0.0;0.0
32;7.4;0.25;0.36;2.05;0.05;31.0;100.0;0.992;3.19;0.44;10.8;6;1.0;1.0;1.0;1.0;0.0;0.0
33;6.2;0.12;0.34;1.5;0.045;43.0;117.0;0.9939;3.42;0.51;9.0;6;1.0;1.0;1.0;1.0;1.0;1.0
34;5.8;0.27;0.2;14.95;0.044000000000000004;22.0;179.0;0.9962;3.37;0.37;10.2;5;1.0;1.0;1.0;0.0;1.0;0.0
35;7.3;0.28;0.43;1.7;0.08;21.0;123.0;0.9905;3.19;0.42;12.8;5;1.0;1.0;0.0;0.0;0.0;0.0
36;6.5;0.39;0.23;5.4;0.051;25.0;149.0;0.9934;3.24;0.35;10.0;5;1.0;1.0;1.0;1.0;0.0;0.0
37;7.0;0.33;0.32;1.2;0.053;38.0;138.0;0.9906;3.13;0.28;11.2;6;1.0;1.0;1.0;0.0;1.0;0.0
38;7.3;0.24;0.39;17.95;0.057;45.0;149.0;0.9999;3.21;0.36;8.6;5;1.0;1.0;0.0;0.0;0.0;0.0
39;7.3;0.24;0.39;17.95;0.057;45.0;149.0;0.9999;3.21;0.36;8.6;5;1.0;1.0;0.0;1.0;1.0;0.0
40;6.7;0.23;0.39;2.5;0.172;63.0;158.0;0.9937;3.11;0.36;9.4;6;1.0;1.0;1.0;1.0;0.0;0.0
41;6.7;0.24;0.39;2.9;0.17300000000000001;63.0;157.0;0.9937;3.1;0.34;9.4;6;1.0;1.0;1.0;0.0;0.0;0.0
42;7.0;0.31;0.26;7.4;0.069;28.0;160.0;0.9954;3.13;0.46;9.8;6;1.0;1.0;1.0;1.0;0.0;0.0
43;6.6;0.24;0.27;1.4;0.057;33.0;152.0;0.9934;3.22;0.56;9.5;6;1.0;1.0;1.0;0.0;0.0;0.0
44;6.7;0.23;0.26;1.4;0.06;33.0;154.0;0.9934;3.24;0.56;9.5;6;1.0;1.0;1.0;0.0;1.0;0.0
45;7.4;0.18;0.31;1.4;0.057999999999999996;38.0;167.0;0.9931;3.16;0.53;10.0;7;1.0;0.0;1.0;1.0;0.0;1.0
46;6.2;0.45;0.26;4.4;0.063;63.0;206.0;0.9940000000000001;3.27;0.52;9.8;4;0.0;1.0;1.0;1.0;1.0;0.0
47;6.2;0.46;0.25;4.4;0.066;62.0;207.0;0.9939;3.25;0.52;9.8;5;1.0;1.0;1.0;1.0;1.0;0.0
48;7.0;0.31;0.26;7.4;0.069;28.0;160.0;0.9954;3.13;0.46;9.8;6;1.0;1.0;1.0;1.0;0.0;0.0
49;6.9;0.19;0.35;5.0;0.067;32.0;150.0;0.995;3.36;0.48;9.8;5;1.0;1.0;1.0;1.0;1.0;0.0
50;7.2;0.19;0.31;1.6;0.062;31.0;173.0;0.9917;3.35;0.44;11.7;6;1.0;1.0;1.0;1.0;1.0;0.0
51;6.6;0.25;0.29;1.1;0.068;39.0;124.0;0.9914;3.34;0.58;11.0;7;1.0;1.0;1.0;1.0;0.0;0.0
52;6.2;0.16;0.33;1.1;0.057;21.0;82.0;0.991;3.32;0.46;10.9;7;1.0;1.0;1.0;0.0;0.0;0.0
53;6.4;0.18;0.35;1.0;0.045;39.0;108.0;0.9911;3.31;0.35;10.9;6;1.0;1.0;1.0;0.0;0.0;0.0
54;6.8;0.2;0.59;0.9;0.147;38.0;132.0;0.993;3.05;0.38;9.1;6;1.0;1.0;0.0;1.0;1.0;1.0
55;6.9;0.25;0.35;1.3;0.039;29.0;191.0;0.9908;3.13;0.52;11.0;6;1.0;1.0;1.0;1.0;1.0;0.0
56;7.2;0.21;0.34;11.9;0.043;37.0;213.0;0.9962;3.09;0.5;9.6;6;1.0;1.0;0.0;1.0;0.0;0.0
57;6.0;0.19;0.26;12.4;0.048;50.0;147.0;0.9972;3.3;0.36;8.9;6;1.0;1.0;1.0;0.0;0.0;0.0
58;6.6;0.38;0.15;4.6;0.044000000000000004;25.0;78.0;0.9931;3.11;0.38;10.2;6;1.0;1.0;1.0;0.0;1.0;0.0
59;7.4;0.2;0.36;1.2;0.038;44.0;111.0;0.9926;3.36;0.34;9.9;6;1.0;1.0;1.0;0.0;0.0;0.0
60;6.8;0.22;0.24;4.9;0.092;30.0;123.0;0.9951;3.03;0.46;8.6;6;1.0;1.0;1.0;1.0;1.0;0.0
61;6.0;0.19;0.26;12.4;0.048;50.0;147.0;0.9972;3.3;0.36;8.9;6;1.0;0.0;1.0;1.0;1.0;0.0
62;7.0;0.47;0.07;1.1;0.035;17.0;151.0;0.991;3.02;0.34;10.5;5;1.0;1.0;0.0;1.0;0.0;0.0
63;6.6;0.38;0.15;4.6;0.044000000000000004;25.0;78.0;0.9931;3.11;0.38;10.2;6;1.0;1.0;1.0;0.0;1.0;0.0
64;7.2;0.24;0.27;1.4;0.038;31.0;122.0;0.9927;3.15;0.46;10.3;6;1.0;1.0;0.0;1.0;0.0;0.0
65;6.2;0.35;0.03;1.2;0.064;29.0;120.0;0.9934;3.22;0.54;9.1;5;1.0;1.0;1.0;0.0;1.0;0.0
66;6.4;0.26;0.24;6.4;0.04;27.0;124.0;0.9903;3.22;0.49;12.6;7;1.0;1.0;1.0;1.0;0.0;0.0
67;6.7;0.25;0.13;1.2;0.040999999999999995;81.0;174.0;0.992;3.14;0.42;9.8;5;1.0;0.0;1.0;0.0;1.0;0.0
68;6.7;0.23;0.31;2.1;0.046;30.0;96.0;0.9926;3.33;0.64;10.7;8;1.0;1.0;0.0;0.0;1.0;0.0
69;7.4;0.24;0.29;10.1;0.05;21.0;105.0;0.9962;3.13;0.35;9.5;5;1.0;1.0;1.0;1.0;0.0;0.0
70;6.2;0.27;0.43;7.8;0.055999999999999994;48.0;244.0;0.9956;3.1;0.51;9.0;6;1.0;1.0;1.0;1.0;1.0;1.0
71;6.8;0.3;0.23;4.6;0.061;50.5;238.5;0.9958;3.32;0.6;9.5;5;1.0;1.0;0.0;1.0;0.0;0.0
72;6.0;0.27;0.28;4.8;0.063;31.0;201.0;0.9964;3.69;0.71;10.0;5;1.0;1.0;1.0;1.0;0.0;0.0
73;8.6;0.23;0.46;1.0;0.054000000000000006;9.0;72.0;0.9941;2.95;0.49;9.1;6;1.0;1.0;1.0;0.0;0.0;0.0
74;6.7;0.23;0.31;2.1;0.046;30.0;96.0;0.9926;3.33;0.64;10.7;8;1.0;1.0;1.0;0.0;0.0;0.0
75;7.4;0.24;0.29;10.1;0.05;21.0;105.0;0.9962;3.13;0.35;9.5;5;1.0;0.0;0.0;0.0;0.0;0.0
76;7.1;0.18;0.36;1.4;0.043;31.0;87.0;0.9898;3.26;0.37;12.7;7;1.0;1.0;1.0;0.0;0.0;0.0
77;7.0;0.32;0.34;1.3;0.042;20.0;69.0;0.9912;3.31;0.65;12.0;7;1.0;1.0;1.0;0.0;1.0;0.0
78;7.4;0.18;0.3;8.8;0.064;26.0;103.0;0.9961;2.94;0.56;9.3;5;1.0;1.0;1.0;0.0;0.0;0.0
79;6.7;0.54;0.28;5.4;0.06;21.0;105.0;0.9949;3.27;0.37;9.0;5;1.0;1.0;1.0;0.0;0.0;0.0
80;6.8;0.22;0.31;1.4;0.053;34.0;114.0;0.9929;3.39;0.77;10.6;6;1.0;1.0;0.0;0.0;0.0;0.0
81;7.1;0.2;0.34;16.0;0.05;51.0;166.0;0.9985;3.21;0.6;9.2;6;1.0;1.0;0.0;0.0;0.0;0.0
82;7.1;0.34;0.2;6.1;0.063;47.0;164.0;0.9946;3.17;0.42;10.0;5;1.0;1.0;1.0;1.0;1.0;0.0
83;7.3;0.22;0.3;8.2;0.047;42.0;207.0;0.9966;3.33;0.46;9.5;6;1.0;1.0;0.0;0.0;1.0;0.0
84;7.1;0.43;0.61;11.8;0.045;54.0;155.0;0.9974;3.11;0.45;8.7;5;1.0;1.0;0.0;1.0;0.0;0.0
85;7.1;0.44;0.62;11.8;0.044000000000000004;52.0;152.0;0.9975;3.12;0.46;8.7;6;1.0;1.0;1.0;1.0;0.0;0.0
86;7.2;0.39;0.63;11.0;0.044000000000000004;55.0;156.0;0.9974;3.09;0.44;8.7;6;1.0;1.0;1.0;1.0;0.0;0.0
87;6.8;0.25;0.31;13.3;0.05;69.0;202.0;0.9972;3.22;0.48;9.7;6;1.0;1.0;0.0;1.0;0.0;0.0
88;7.1;0.43;0.61;11.8;0.045;54.0;155.0;0.9974;3.11;0.45;8.7;5;1.0;1.0;1.0;0.0;0.0;0.0
89;7.1;0.44;0.62;11.8;0.044000000000000004;52.0;152.0;0.9975;3.12;0.46;8.7;6;1.0;1.0;1.0;0.0;1.0;0.0
90;7.2;0.39;0.63;11.0;0.044000000000000004;55.0;156.0;0.9974;3.09;0.44;8.7;6;1.0;1.0;1.0;1.0;1.0;0.0
91;6.1;0.27;0.43;7.5;0.049;65.0;243.0;0.9957;3.12;0.47;9.0;5;1.0;0.0;1.0;0.0;0.0;0.0
92;6.9;0.24;0.33;1.7;0.035;47.0;136.0;0.99;3.26;0.4;12.6;7;1.0;1.0;0.0;1.0;1.0;0.0
93;6.9;0.21;0.33;1.8;0.034;48.0;136.0;0.9899;3.25;0.41;12.6;7;1.0;1.0;1.0;1.0;0.0;0.0
94;7.5;0.17;0.32;1.7;0.04;51.0;148.0;0.9916;3.21;0.44;11.5;7;1.0;1.0;1.0;1.0;0.0;0.0
95;7.1;0.26;0.29;12.4;0.044000000000000004;62.0;240.0;0.9969;3.04;0.42;9.2;6;1.0;1.0;1.0;0.0;1.0;0.0
96;6.0;0.34;0.66;15.9;0.046;26.0;164.0;0.9979;3.14;0.5;8.8;6;1.0;1.0;0.0;1.0;0.0;0.0
97;8.6;0.265;0.36;1.2;0.034;15.0;80.0;0.9913;2.95;0.36;11.4;7;1.0;1.0;1.0;1.0;1.0;0.0
98;9.8;0.36;0.46;10.5;0.038;4.0;83.0;0.9956;2.89;0.3;10.1;4;0.0;1.0;0.0;1.0;1.0;0.0
